provincia,anio,poblacion_total,poblacion_varones,poblacion_mujeres,provincia_id,hogares,viviendas_particulares,viviendas_particulares_habitadas,superficie_km2,densidad_de_poblacion,fuera_de_rango
Capital Federal,2025,3086680,1456560,1630120,2,1150134,1423973,1082998,200,15433.4,4.8270105782586
Capital Federal,2026,3087338,1458111,1629227,2,1150134,1423973,1082998,200,15436.69,4.82808515935421
Capital Federal,2027,3087434,1459359,1628075,2,1150134,1423973,1082998,200,15437.17,4.828241937143234
Capital Federal,2028,3086973,1460309,1626664,2,1150134,1423973,1082998,200,15434.865,4.82748907713552
Capital Federal,2029,3085971,1460970,1625001,2,1150134,1423973,1082998,200,15429.855,4.82585270896257
Capital Federal,2030,3084450,1461355,1623095,2,1150134,1423973,1082998,200,15422.25,4.823368760867703
Capital Federal,2031,3082415,1461471,1620944,2,1150134,1423973,1082998,200,15412.075,4.820045398360764
Capital Federal,2032,3079869,1461324,1618545,2,1150134,1423973,1082998,200,15399.345,4.81588752074766
Capital Federal,2033,3076845,1460932,1615913,2,1150134,1423973,1082998,200,15384.225,4.810949020393369
Capital Federal,2034,3073375,1460312,1613063,2,1150134,1423973,1082998,200,15366.875,4.805282156560898
Capital Federal,2035,3069488,1459479,1610009,2,1150134,1423973,1082998,200,15347.44,4.798934289207349
Capital Federal,2036,3065183,1458434,1606749,2,1150134,1423973,1082998,200,15325.915,4.791903785230754
Capital Federal,2037,3060454,1457173,1603281,2,1150134,1423973,1082998,200,15302.27,4.7841808460192965
Capital Federal,2038,3055302,1455695,1599607,2,1150134,1423973,1082998,200,15276.51,4.775767104674948
Capital Federal,2039,3049723,1453997,1595726,2,1150134,1423973,1082998,200,15248.615,4.76665602878983
Capital Federal,2040,3043704,1452069,1591635,2,1150134,1423973,1082998,200,15218.52,4.756826388038349
Buenos Aires,2025,18359753,9024621,9335132,6,4789484,5377786,4425193,307571,59.692731109239816,-0.19435574410867407
Buenos Aires,2026,18516459,9104437,9412022,6,4789484,5377786,4425193,307571,60.20222647778887,-0.19418933253075812
Buenos Aires,2027,18671214,9183262,9487952,6,4789484,5377786,4425193,307571,60.70537859551128,-0.1940249927879251
Buenos Aires,2028,18824007,9261094,9562913,6,4789484,5377786,4425193,307571,61.202151698307055,-0.19386273656145955
Buenos Aires,2029,18974810,9337923,9636887,6,4789484,5377786,4425193,307571,61.6924547502853,-0.19370259358553993
Buenos Aires,2030,19123592,9413737,9709855,6,4789484,5377786,4425193,307571,62.176186961709654,-0.19354459678014962
Buenos Aires,2031,19270454,9488592,9781862,6,4789484,5377786,4425193,307571,62.653676712043726,-0.19338863888985888
Buenos Aires,2032,19415494,9562541,9852953,6,4789484,5377786,4425193,307571,63.12524262690566,-0.19323461584504292
Buenos Aires,2033,19558673,9635567,9923106,6,4789484,5377786,4425193,307571,63.59075790630456,-0.19308256906116464
Buenos Aires,2034,19699931,9707643,9992288,6,4789484,5377786,4425193,307571,64.05002747333135,-0.1929325622543209
Buenos Aires,2035,19839191,9778732,10060459,6,4789484,5377786,4425193,307571,64.50280097928608,-0.1927846771935027
Buenos Aires,2036,19976410,9848813,10127597,6,4789484,5377786,4425193,307571,64.94893861905057,-0.1926389595419128
Buenos Aires,2037,20111548,9917868,10193680,6,4789484,5377786,4425193,307571,65.38831034135208,-0.19249545177694904
Buenos Aires,2038,20244529,9985856,10258673,6,4789484,5377786,4425193,307571,65.82066904877247,-0.1923542346056675
Buenos Aires,2039,20375264,10052731,10322533,6,4789484,5377786,4425193,307571,66.24572537722997,-0.19221540254027852
Buenos Aires,2040,20503653,10118438,10385215,6,4789484,5377786,4425193,307571,66.66315419854277,-0.1920790617742769
Catamarca,2025,432438,216536,215902,10,96001,113634,89376,102602,4.214713163486092,-0.21247599617749044
Catamarca,2026,435572,218113,217459,10,96001,113634,89376,102602,4.245258377029687,-0.21246601948781405
Catamarca,2027,438610,219639,218971,10,96001,113634,89376,102602,4.274867936297538,-0.2124563484019057
Catamarca,2028,441548,221112,220436,10,96001,113634,89376,102602,4.303502855694821,-0.21244699565325564
Catamarca,2029,444382,222529,221853,10,96001,113634,89376,102602,4.331124149626713,-0.21243797397535427
Catamarca,2030,447107,223889,223218,10,96001,113634,89376,102602,4.357683086099686,-0.2124292992850645
Catamarca,2031,449719,225189,224530,10,96001,113634,89376,102602,4.383140679518918,-0.21242098431587667
Catamarca,2032,452217,226430,225787,10,96001,113634,89376,102602,4.407487183485702,-0.2124130322511633
Catamarca,2033,454596,227608,226988,10,96001,113634,89376,102602,4.430673866006511,-0.2124054590077874
Catamarca,2034,456854,228723,228131,10,96001,113634,89376,102602,4.452681234283932,-0.21239827095249408
Catamarca,2035,458989,229774,229215,10,96001,113634,89376,102602,4.473489795520555,-0.2123914744520285
Catamarca,2036,460999,230761,230238,10,96001,113634,89376,102602,4.493080056918968,-0.21238507587313585
Catamarca,2037,462883,231683,231200,10,96001,113634,89376,102602,4.511442272080466,-0.21237907839918874
Catamarca,2038,464640,232540,232100,10,96001,113634,89376,102602,4.528566694606343,-0.2123734852135597
Catamarca,2039,466275,233334,232941,10,96001,113634,89376,102602,4.544502056490127,-0.2123682803993858
Catamarca,2040,467787,234065,233722,10,96001,113634,89376,102602,4.559238611333113,-0.21236346714003973
Córdoba,2025,3945677,1934082,2011595,14,1031843,1232211,978553,165321,23.86676223831213,-0.20605723616964747
Córdoba,2026,3981393,1952301,2029092,14,1031843,1232211,978553,165321,24.0828025477707,-0.20598667299869494
Córdoba,2027,4016659,1970295,2046364,14,1031843,1232211,978553,165321,24.296120879985,-0.20591699888102186
Córdoba,2028,4051461,1988057,2063404,14,1031843,1232211,978553,165321,24.506632551218537,-0.20584824147606356
Córdoba,2029,4085783,2005579,2080204,14,1031843,1232211,978553,165321,24.71424078005819,-0.20578043239460336
Córdoba,2030,4119615,2022857,2096758,14,1031843,1232211,978553,165321,24.91888507812075,-0.20571359139338075
Córdoba,2031,4152951,2039888,2113063,14,1031843,1232211,978553,165321,25.120529152376285,-0.2056477303264395
Córdoba,2032,4185790,2056671,2129119,14,1031843,1232211,978553,165321,25.319166953986485,-0.20558285116945352
Córdoba,2033,4218137,2073209,2144928,14,1031843,1232211,978553,165321,25.51482872714295,-0.2055189440440531
Córdoba,2034,4250000,2089505,2160495,14,1031843,1232211,978553,165321,25.707562862552248,-0.20545599314484655
Córdoba,2035,4281389,2105563,2175826,14,1031843,1232211,978553,165321,25.897429848597575,-0.20539397871509438
Córdoba,2036,4312310,2121388,2190922,14,1031843,1232211,978553,165321,26.084465978308867,-0.20533288890075277
Córdoba,2037,4342769,2136982,2205787,14,1031843,1232211,978553,165321,26.268707544716037,-0.20527271184777812
Córdoba,2038,4372781,2152351,2220430,14,1031843,1232211,978553,165321,26.4502452803939,-0.20521341792106101
Córdoba,2039,4402358,2167500,2234858,14,1031843,1232211,978553,165321,26.629151771402302,-0.20515498341251406
Córdoba,2040,4431509,2182434,2249075,14,1031843,1232211,978553,165321,26.805481457286128,-0.20509739054107165
Corrientes,2025,1165860,575526,590334,18,267797,292644,248844,88199,13.21851721674849,-0.2095351701518946
Corrientes,2026,1174065,579610,594455,18,267797,292644,248844,88199,13.311545482375085,-0.2095047852231409
Corrientes,2027,1182008,583560,598448,18,267797,292644,248844,88199,13.401603192779964,-0.20947537053830353
Corrientes,2028,1189680,587371,602309,18,267797,292644,248844,88199,13.488588305989865,-0.20944695942637195
Corrientes,2029,1197076,591042,606034,18,267797,292644,248844,88199,13.572444132019637,-0.2094195704034515
Corrientes,2030,1204189,594569,609620,18,267797,292644,248844,88199,13.653091304890077,-0.2093932293920895
Corrientes,2031,1211027,597957,613070,18,267797,292644,248844,88199,13.730620528577422,-0.20936790676651754
Corrientes,2032,1217593,601207,616386,18,267797,292644,248844,88199,13.805065817072755,-0.20934359141707246
Corrientes,2033,1223885,604319,619566,18,267797,292644,248844,88199,13.876404494382022,-0.2093202907501964
Corrientes,2034,1229901,607293,622608,18,267797,292644,248844,88199,13.944613884511162,-0.2092980121723314
Corrientes,2035,1235644,610131,625513,18,267797,292644,248844,88199,14.009728001451263,-0.20927674457381432
Corrientes,2036,1241119,612836,628283,18,267797,292644,248844,88199,14.071803535187474,-0.2092564694385399
Corrientes,2037,1246340,615417,630923,18,267797,292644,248844,88199,14.130999217678205,-0.20923713492141338
Corrientes,2038,1251313,617876,633437,18,267797,292644,248844,88199,14.187383076905634,-0.2092187188031084
Corrientes,2039,1256046,620219,635827,18,267797,292644,248844,88199,14.241045816845997,-0.2092011914578566
Corrientes,2040,1260548,622451,638097,18,267797,292644,248844,88199,14.292089479472557,-0.20918451955666836
Chaco,2025,1260737,621528,639209,22,288422,312602,270133,99633,12.653809480794516,-0.20971961521499513
Chaco,2026,1271241,626589,644652,22,288422,312602,270133,99633,12.759236397579116,-0.20968518063391758
Chaco,2027,1281525,631540,649985,22,288422,312602,270133,99633,12.862455210622986,-0.20965146726455336
Chaco,2028,1291581,636378,655203,22,288422,312602,270133,99633,12.963385625244648,-0.209618501332783
Chaco,2029,1301397,641096,660301,22,288422,312602,270133,99633,13.061907199421878,-0.20958632217742723
Chaco,2030,1310964,645690,665274,22,288422,312602,270133,99633,13.157929601638012,-0.20955495930260154
