provincia_id,provincia,hogares,viviendas_particulares,viviendas_particulares_habitadas,superficie_km2
02,Capital Federal,1150134,1423973,1082998,200
06,Buenos Aires,4789484,5377786,4425193,307571
10,Catamarca,96001,113634,89376,102602
14,Córdoba,1031843,1232211,978553,165321
18,Corrientes,267797,292644,248844,88199
22,Chaco,288422,312602,270133,99633
26,Chubut,157166,177985,147176,224686
30,Entre Ríos,375121,425591,357250,78781
34,Formosa,140303,154458,130134,72066
38,Jujuy,174630,195785,154911,53219
42,La Pampa,107674,133186,104797,143440
46,La Rioja,91097,108967,86367,89680
50,Mendoza,494841,538056,459550,148827
54,Misiones,302953,330049,290263,29801
58,Neuquén,170057,193733,159302,94078
62,Río Negro,199189,236609,190597,203013
66,Salta,299794,315186,267075,155488
70,San Juan,177155,188655,162204,89651
74,San Luis,126922,142049,117766,76748
78,Santa Cruz,81796,93881,76233,243943
82,Santa Fe,1023777,1143651,948369,133007
86,Santiago del Estero,218025,242034,197906,136351
90,Tucumán,368538,396040,335821,22524
94,Tierra del Fuego,38956,43360,36689,1002445
